ID,Institucion,Programa,Nivel,Semestre,Anio,GPA,GRE_Verbal,GRE_Cuantitativo,GRE_Escritura,Admision
1,University Of Texas At Austin,Operations Research,Maestria,Otono,2019,3.78,162,170,4.5,Admitido
2,Columbia University (Fu Foundation),Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2019,4.0,163,170,4.0,Admitido
3,Cornell University,Operations Research And Information Engineering,Doctorado,Otono,2019,4.0,163,170,4.0,Admitido
4,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2019,3.98,154,164,4.5,Admitido
5,Georgia Institute Of Technology (Gatech Georgia Tech),Operations Research,Doctorado,Otono,2019,3.6,152,167,0.0,Rechazado
6,Massachusetts Institute Of Technology (MIT),Operations Research,Doctorado,Otono,2019,4.0,151,168,4.0,Admitido
7,Massachusetts Institute Of Technology (MIT),Operations Research,Doctorado,Otono,2019,4.0,160,167,4.0,Rechazado
8,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2019,3.97,160,167,4.0,Admitido
9,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2019,3.97,160,167,4.0,Admitido
10,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2019,3.98,162,170,4.0,Rechazado
11,Northeastern University (NEU),Operations Research,Maestria,Otono,2019,2.83,160,166,4.0,Admitido
12,Princeton University,Operations Research & Financial Engineering,Doctorado,Otono,2019,3.96,170,170,5.0,Admitido
13,Princeton University,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2019,4.0,165,170,4.0,Rechazado
14,Princeton University,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2019,3.92,170,170,5.0,Rechazado
15,Princeton University,Operations Research & Financial Engineering (ORFE),Doctorado,Otono,2019,3.7,154,164,4.5,Rechazado
16,Princeton University,Operations Research And Financial Engineering,Maestria,Otono,2019,3.98,162,170,4.0,Rechazado
17,Southern Methodist University (SMU),Operations Research,Doctorado,Otono,2019,3.6,158,165,3.5,Admitido
18,"University Of California, Berkeley",Industrial Engineering And Operations Research,Maestria,Otono,2019,3.7,162,170,4.5,Admitido
19,University Of North Carolina Chapel Hill (UNC),Operations Research,Doctorado,Otono,2019,3.5,155,168,3.0,Admitido
20,Princeton University,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2018,3.94,164,169,4.5,Admitido
21,Princeton University,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2018,4.0,163,168,4.5,Rechazado
22,Princeton University,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2018,4.0,151,168,3.5,Rechazado
23,Princeton University,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2018,4.0,154,170,3.5,Rechazado
24,Princeton University,ORFE (Operations Research & Financial Engineering),Doctorado,Otono,2018,3.97,167,168,4.0,Rechazado
25,UC Berkeley,Industrial Engineering & Operations Research (IEOR) (MEng),Maestria,Otono,2018,4.0,167,158,4.0,Admitido
26,"University Of Michigan, Ann Arbor (Umich)","Industrial Engineering And Operations Research, Masters",Maestria,Otono,2018,3.68,155,154,4.0,Admitido
27,University Of Texas At Austin,Operations Research And Industrial Engineering (ORIE),Maestria,Otono,2018,3.6,152,170,3.5,Admitido
28,University Of Texas At Austin,Operations Research And Industrial Engineering,Maestria,Otono,2018,3.06,160,168,4.0,Admitido
29,College Of William & Mary,Computer Science With A Specialization In Computational Operations Research,Maestria,Otono,2018,3.95,150,163,4.0,Admitido
30,Columbia Uniersity,Operations Research (MSOR),Maestria,Otono,2018,3.6,165,170,4.5,Admitido
31,Cornell  University,Operations Research And Information Engineering (ORIE),Maestria,Otono,2018,3.6,153,166,3.0,Admitido
32,Cornell Tech,Operations Research And Information Engineering (ORIE),Maestria,Otono,2018,4.0,164,170,5.5,Admitido
33,Cornell Tech,Operations Research & Industrial Engineering (ORIE),Maestria,Otono,2018,3.75,164,168,4.5,Admitido
34,Cornell University,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2018,3.94,164,164,5.0,Admitido
